candidate_id,organisation_name,fy25_report_name,current_public_name,relationship_evidence,fy25_evidence_date,current_public_evidence_date,fy25_source_url,current_relationship_source_urls,current_status_or_location_source_urls,coordinate_provenance,coordinate_method,public_point_label,public_point_address,latitude,longitude,point_class,coordinate_status,protected_or_sensitive,current_status_note,limitation,reference_only,route_ready
FY25-01,ATC Vision College - Papakura Campus,ATC Vision College - Papakura Campus,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://visioncollege.ac.nz/about-us/campuses/auckland/,docs/research.md,reviewed_public_address_geocode,"Level 4, 34 East Street, Papakura 2110","Level 4, 34 East Street, Papakura 2110",-37.064046,174.941950,A,public_approximate,false,Current campus evidence; campus is not a receiving entrance.,"Public approximation only; current KiwiHarvest relationship, receiving point, and live operational state are unconfirmed.",true,false
FY25-02,Auckland Women’s Centre - Single Mum’s Group,Auckland Women’s Centre - Single Mum’s Group,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://awc.org.nz/classes/single-mums-on-sundays/,docs/research.md,reviewed_public_address_geocode,"4 Warnock Street, Grey Lynn","4 Warnock Street, Grey Lynn",-36.858923,174.729809,A,public_approximate,false,Current programme is described as Solo Mums on Sundays.,Programme point is not a confirmed receiving entrance or current KiwiHarvest delivery site.,true,false
FY25-03,Auckland Women’s Refuge,Auckland Women’s Refuge,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://womensrefugetamaki.org.nz/,docs/research.md,reviewed_public_address_geocode,"Level 1, Unit 3, 322 New North Road, Kingsland","Level 1, Unit 3, 322 New North Road, Kingsland",-36.868950,174.751710,A,public_approximate,true,Current public network office evidence; never a safe-house point.,Protected service; public office approximation is not a safe-house or verified receiving location.,true,false
FY25-04,Awataha Marae,Awataha Marae,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.awataha.co.nz/,docs/research.md,reviewed_public_address_geocode,"58 Akoranga Drive, Northcote","58 Akoranga Drive, Northcote",-36.794950,174.755950,A,public_approximate,false,Current public marae site.,"Public site approximation; entrance, access, and current receiving arrangement are unconfirmed.",true,false
FY25-05,Baverstock Oaks School,Baverstock Oaks School,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.baverstock.school.nz/,docs/research.md,reviewed_public_address_geocode,"21 Baverstock Road, Flat Bush","21 Baverstock Road, Flat Bush",-36.955740,174.913440,A,public_approximate,false,Current school campus evidence.,Campus coordinate is not a confirmed food receiving entrance or current KiwiHarvest site.,true,false
FY25-06,Beachhaven Food Bank,Beachhaven Food Bank,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.cedarcentre.org.nz/contact,docs/research.md,reviewed_coarse_point,"Cedar Centre foodbank proxy, 56A Tramway Road, Beach Haven","Cedar Centre foodbank proxy, 56A Tramway Road, Beach Haven",-36.792710,174.689710,H,public_approximate,false,"FY25 continuity is unconfirmed; Cedar Centre is a current local foodbank, not a proven successor.",Proxy point is for research mapping only and must not be treated as recipient continuity or route destination.,true,false
FY25-07,Blue Light Otara,Blue Light Otara,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://bluelight.co.nz/about/blue-light-branches/,docs/research.md,reviewed_source_embedded_or_campus_point,"Ormiston Police Station programme point, 50 Ormiston Road, Ōtara","Ormiston Police Station programme point, 50 Ormiston Road, Ōtara",-36.962458,174.896944,I,public_approximate,false,Current Blue Light branch-network evidence; not a receiving site.,Programme/intersection point is not a confirmed food receiving entrance or current KiwiHarvest site.,true,false
FY25-08,Blue Light Papakura,Blue Light Papakura,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://bluelight.co.nz/blue-light-youth-centre/,docs/research.md,reviewed_public_address_geocode,"Blue Light Youth Centre, 159 Dominion Road, Red Hill, Papakura","Blue Light Youth Centre, 159 Dominion Road, Red Hill, Papakura",-37.067630,174.965564,A,public_approximate,false,Current Blue Light Youth Centre evidence.,Public programme point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-09,C3 Cares Albany,C3 Cares Albany,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://belongchurch.org.nz/giving,docs/research.md,reviewed_coarse_point,Albany suburb centroid,Albany suburb centroid,-36.716670,174.700000,S,public_approximate,false,"C3 Cares remains visible through Belong Church, but no Albany delivery site was verified.",Suburb centroid is non-navigable and does not prove a current KiwiHarvest relationship or receiving site.,true,false
FY25-10,CAB Glen Innes Foodbank,CAB Glen Innes Foodbank,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://kiosk.healthpoint.co.nz/community-health-and-social-services/social/citizens-advice-bureau-cab-glen-innes/,docs/research.md,reviewed_public_address_geocode,"96 Line Road, Glen Innes","96 Line Road, Glen Innes",-36.878820,174.857510,A,public_approximate,false,Current service listing; older sources also show 100 Line Road.,Public address approximation has address conflict and is not a confirmed receiving entrance.,true,false
